bf_bugid,bf_project,bf_product,bf_de_manager,bf_severity,submit_age,Pin
CSCve23454,CSC.labtrunk,warbler,tslo,enhancement,114,warbler
CSCve26572,CSC.labtrunk,warbler,tslo,enhancement,113,warbler
CSCve30498,CSC.labtrunk,warbler,tslo,enhancement,113,warbler
CSCve44248,CSC.labtrunk,volt,teresang,moderate,111,ie
CSCve50123,CSC.labtrunk,cgr1000,ningzhao,moderate,111,cgr1k
CSCve74326,CSC.sibu.dev,sunbird,tslo,moderate,108,sw
CSCve75196,CSC.labtrunk,warbler,tslo,enhancement,108,warbler
CSCve83631,CSC.labtrunk,cgr1000,tslo,moderate,107,cgr1k
CSCve84366,CSC.labtrunk,moreno,teresang,moderate,107,iotgsw
CSCve86517,CSC.labtrunk,volt,teresang,moderate,107,iotgsw
CSCvf04048,CSC.labtrunk,warbler,tslo,moderate,105,warbler
CSCvf27630,CSC.labtrunk,volt,teresang,moderate,102,iotgsw
CSCvf57699,CSC.sys,cgr1000,sidharma,enhancement,99,cgr1k
CSCvf62235,CSC.labtrunk,warbler,tslo,minor,98,warbler
CSCvf73470,CSC.labtrunk,warbler,tslo,minor,97,warbler
CSCvf80656,CSC.labtrunk,warbler,tslo,moderate,96,warbler
CSCvf81949,CSC.labtrunk,all,ningzhao,moderate,96,sparrow
CSCvf98837,CSC.labtrunk,cgr1000,tslo,moderate,94,cgr1k
CSCvg26182,CSC.labtrunk,all,ningzhao,moderate,91,sparrow
CSCvg28130,CSC.labtrunk,ir800,ningzhao,moderate,90,ir800
CSCvg37481,CSC.labtrunk,all,ningzhao,catastrophic,89,sparrow
CSCvg40371,CSC.sys,cgr1000,ningzhao,moderate,89,cgr1k
CSCvg41374,CSC.labtrunk,ir800,ningzhao,moderate,89,ir800
CSCvg50678,CSC.labtrunk,ir1100,ningzhao,minor,88,sparrow
CSCvg70961,CSC.labtrunk,ir1100,ningzhao,severe,86,sparrow
CSCvg76199,CSC.labtrunk,cgr1000,bhatrive,moderate,85,cgr1k
CSCvg96800,CSC.labtrunk,all,ningzhao,moderate,83,sparrow
CSCvh01042,CSC.labtrunk,ir800,ningzhao,moderate,82,ir800
CSCvh02789,CSC.labtrunk,warbler,tslo,moderate,82,warbler
CSCvh02811,CSC.labtrunk,ir1100,ningzhao,moderate,82,sparrow
CSCvh10736,CSC.labtrunk,ir1100,ningzhao,moderate,82,sparrow
CSCvh19185,CSC.labtrunk,ir1100,ningzhao,severe,81,sparrow
CSCvh22064,CSC.labtrunk,ir1100,ningzhao,moderate,80,sparrow
CSCvh58683,CSC.labtrunk,ir1100,ningzhao,moderate,76,sparrow
CSCvh65177,CSC.labtrunk,ir829,bhatrive,minor,76,gemboa
CSCvh83223,CSC.labtrunk,petra,teresang,moderate,74,petra
CSCvh89730,CSC.labtrunk,ir1100,ningzhao,moderate,73,sparrow
CSCvi05529,CSC.labtrunk,petra,teresang,moderate,71,ptp
CSCvi07899,CSC.labtrunk,warbler,tslo,enhancement,71,warbler
CSCvi08074,CSC.labtrunk,ir1100,ningzhao,moderate,71,sparrow
CSCvi29893,CSC.labtrunk,warbler,tslo,enhancement,69,warbler
CSCvi44374,CSC.labtrunk,all,ningzhao,moderate,68,sparrow
CSCvi51666,CSC.sys,all,bhatrive,moderate,68,ir800
CSCvi66071,CSC.labtrunk,volt,teresang,enhancement,67,iot
